sn,symbol,ltp,point change,open,high,low,volume,close

213,RAWA,415.00,-25.00,-5.68,431.20,436.00,415.00,"11,895.00",440.00
214,RBCL,"15,270.40",559.40,3.80,"14,750.00","15,998.00","14,750.00","1,371.00","14,711.00"
215,RBCLPO,"12,250.00",500.00,4.26,"11,900.00","12,925.00","11,700.00","2,157.00","11,750.00"
216,RFPL,244.80,-11.20,-4.38,250.90,253.00,239.00,"20,967.00",256.00
217,RHGCL,247.80,-10.20,-3.95,259.00,259.00,243.00,"32,857.00",258.00
218,RHPL,284.10,-11.40,-3.86,296.00,296.00,284.10,"30,583.00",295.50
219,RIDI,224.00,-7.50,-3.24,234.00,235.00,223.00,"72,833.00",231.50
220,RLFL,370.00,-15.00,-3.90,389.00,389.00,368.50,"62,395.00",385.00
221,RMF1,7.70,-0.14,-1.79,7.84,7.99,7.55,"22,100.00",7.84
222,RMF2,8.12,-0.14,-1.69,8.42,8.42,8.10,700.00,8.26
223,RNLI,585.00,-7.00,-1.18,590.00,598.00,580.30,"229,637.00",592.00
224,RSDC,543.00,-21.00,-3.72,560.00,560.00,542.00,"9,998.00",564.00
225,RURU,750.00,9.00,1.21,732.00,770.00,732.00,"1,148.00",741.00
226,SABSL,637.00,-31.00,-4.64,661.00,679.00,637.00,"1,034.00",668.00
227,SADBL,315.70,-14.30,-4.33,325.00,330.00,315.70,"47,157.00",330.00
228,SAEF,9.70,-0.12,-1.22,9.63,9.75,9.45,"83,576.00",9.82
229,SAGF,8.43,0.08,0.96,8.51,8.51,8.40,"47,900.00",8.35
230,SAHAS,519.90,1.90,0.37,528.30,528.30,500.00,"40,822.00",518.00
231,SALICO,722.00,-19.90,-2.68,732.20,744.00,718.00,"12,802.00",741.90
232,SAMAJ,150.80,5.80,4.00,147.90,150.80,147.90,20.00,145.00
233,SANIMA,265.70,-4.30,-1.59,270.00,272.00,265.10,"49,615.00",270.00
234,SAPDBL,253.00,-12.10,-4.62,257.00,264.00,249.90,"18,627.00",262.00
235,SBCF,7.74,-0.13,-1.65,7.73,7.89,7.73,"5,250.00",7.87
236,SBD87,890.00,0.00,0.00,890.00,890.00,890.00,85.00,890.00
237,SBI,312.00,-8.00,-2.50,319.00,319.00,312.00,"22,685.00",320.00
238,SBIBD86,948.80,-21.20,-2.19,948.80,948.80,948.80,50.00,970.00
239,SBL,257.00,-11.00,-4.10,263.00,270.00,257.00,"64,991.00",268.00
240,SCB,528.90,1.80,0.34,527.10,530.00,517.50,"24,591.00",527.10
241,SDLBSL,627.10,-35.90,-5.41,650.20,655.00,625.20,"1,734.00",663.00
242,SEF,8.25,-0.15,-1.79,8.24,8.25,8.11,"17,500.00",8.40
243,SFCL,305.80,-11.70,-3.69,315.00,323.80,305.80,"43,319.00",317.50
244,SFEF,8.07,0.01,0.12,8.05,8.07,8.05,"2,600.00",8.06
245,SFMF,9.25,-0.69,-6.94,9.94,10.00,9.25,"31,105.00",9.94
246,SGHC,285.50,7.40,2.66,272.60,286.60,270.00,"17,554.00",278.10
247,SGIC,548.00,-14.00,-2.49,565.00,565.00,546.00,"92,513.00",562.00
248,SHEL,275.00,-4.50,-1.61,274.00,284.00,274.00,"13,078.00",279.50
249,SHINE,411.00,-9.00,-2.14,420.00,422.00,402.00,"128,856.00",420.00
250,SHIVM,590.00,-23.00,-3.75,613.00,622.00,589.00,"508,650.00",613.00
251,SHL,468.80,-14.06,-2.91,492.00,492.00,466.00,"221,387.00",482.86
252,SHLB,986.00,-45.00,-4.36,"1,031.00","1,031.00",976.00,"1,440.00","1,031.00"
253,SHPC,357.00,-11.50,-3.12,368.00,368.00,355.00,"53,167.00",368.50
254,SICL,773.00,-23.00,-2.89,791.00,797.00,765.00,"18,571.00",796.00
